0,1,2,3,4,5
109.0,110.0,136.0,91.0,120.0,131.0
104.0,130.0,148.0,91.0,108.0,105.0
146.0,158.0,148.0,109.0,120.0,152.0
120.0,146.0,141.0,186.0,165.0,157.0
164.0,174.0,168.0,196.0,197.0,160.0
177.0,215.0,206.0,207.0,230.0,209.0
