fitness_true,E,W,x0_true,rep,n_points,t_start,t_end,vaf_start,vaf_end,status,fitness_map,x0_map
0.1,200000.0,1.0,1.0,0,3,186.09304652326162,198.09904952476236,0.056916698077647945,0.08293316028552888,ok,0.04070367738488298,11982.126663191368
0.1,200000.0,1.0,1.0,1,3,186.09304652326162,198.09904952476236,0.05375107789594711,0.08607292289300658,ok,0.043467396342949674,11428.60211748935
0.1,200000.0,1.0,1.0,2,2,192.096048024012,198.09904952476236,0.062305833620987225,0.07905982905982906,ok,0.046324747328045375,14222.094995211113
0.1,200000.0,1.0,1.0,3,2,192.096048024012,198.09904952476236,0.06967650195520796,0.0795144157814871,ok,0.025897444097327107,16187.444555735054
0.1,200000.0,1.0,1.0,4,2,192.096048024012,198.09904952476236,0.06815384615384615,0.08097351905709475,ok,0.03379074866145196,15780.405606234786
0.1,200000.0,1.0,1.0,5,3,186.09304652326162,198.09904952476236,0.05979760809567617,0.07819959081609457,ok,0.028246177167760848,12968.075825811999
0.1,200000.0,1.0,1.0,6,3,186.09304652326162,198.09904952476236,0.0537525354969574,0.0834731543624161,ok,0.052445488351410684,10182.953998846147
0.1,200000.0,1.0,1.0,7,3,186.09304652326162,198.09904952476236,0.056490384615384616,0.08291203235591507,ok,0.041260568112598026,12025.827027611509
0.1,200000.0,1.0,1.0,8,2,192.096048024012,198.09904952476236,0.0524822695035461,0.08824299554857293,ok,0.10048673979902686,11723.660930640102
0.1,200000.0,1.0,1.0,9,3,186.09304652326162,198.09904952476236,0.05679862306368331,0.08447789275634995,ok,0.03993942709871141,12002.900920604292
0.1,200000.0,1.0,1.0,10,3,186.09304652326162,198.09904952476236,0.05215260763038152,0.0794900047221785,ok,0.040294633388302206,11740.80992385965
0.1,200000.0,1.0,1.0,11,2,192.096048024012,198.09904952476236,0.06298683857104485,0.08129847744900891,ok,1.0,12411.943435425588
0.1,200000.0,1.0,1.0,12,3,186.09304652326162,198.09904952476236,0.05229659488702663,0.08091446185461083,ok,0.04155690361273141,11625.753500864492
0.1,200000.0,1.0,1.0,13,3,186.09304652326162,198.09904952476236,0.0545950864422202,0.08974358974358974,ok,0.04971002866437679,11860.812687531332
0.1,200000.0,1.0,1.0,14,2,192.096048024012,198.09904952476236,0.06309420916162489,0.08442825549629245,ok,0.05671571700954667,14453.770861677272
0.1,200000.0,1.0,1.0,15,2,192.096048024012,198.09904952476236,0.064965483234714,0.0778851620238772,ok,1.0,14082.00241717522
0.1,200000.0,1.0,1.0,16,2,192.096048024012,198.09904952476236,0.07668783815572806,0.08408457629896739,ok,0.01822703360904668,18121.39792347684
0.1,200000.0,1.0,1.0,17,2,192.096048024012,198.09904952476236,0.06674473067915691,0.08152319656744436,ok,0.9999999999999121,295.7032471455877
0.1,200000.0,1.0,1.0,18,2,192.096048024012,198.09904952476236,0.06824925816023739,0.08515332009706596,ok,0.04343777714207986,15814.60692617782
0.1,200000.0,1.0,1.0,19,2,192.096048024012,198.09904952476236,0.0701840490797546,0.08581279530072787,ok,0.039487896695196326,16346.49926100312
0.1,1000000.0,1.0,1.0,0,14,108.05402701350674,186.09304652326162,0.08241188666205944,0.5021139020144243,ok,0.08791825346407767,17229.52582280857
0.1,1000000.0,1.0,1.0,1,14,108.05402701350674,186.09304652326162,0.07448314924950439,0.4855091730922627,ok,0.09105677559551209,16592.31118175202
0.1,1000000.0,1.0,1.0,2,14,108.05402701350674,186.09304652326162,0.0689544063154503,0.5031927023945268,ok,0.999999999994631,159.69775609099557
0.1,1000000.0,1.0,1.0,3,14,108.05402701350674,186.09304652326162,0.06893803546523211,0.49926847110460865,ok,0.0899370084454639,16989.337267345076
0.1,1000000.0,1.0,1.0,4,14,108.05402701350674,186.09304652326162,0.0663265306122449,0.5112730585288089,ok,0.09017791972002828,16336.926946097903
0.1,1000000.0,1.0,1.0,5,14,108.05402701350674,186.09304652326162,0.07111853088480802,0.4955300127713921,ok,0.09046587259720942,16957.935084863864
0.1,1000000.0,1.0,1.0,6,14,108.05402701350674,186.09304652326162,0.07113583138173302,0.496735308890005,ok,0.08952678418993615,16497.417451695444
0.1,1000000.0,1.0,1.0,7,14,108.05402701350674,186.09304652326162,0.06657122405153901,0.49187161317215505,ok,0.09208309256288555,16234.704091176038
0.1,1000000.0,1.0,1.0,8,14,108.05402701350674,186.09304652326162,0.068688293370945,0.48734717088427637,ok,0.09121095508410275,16274.836060111076
0.1,1000000.0,1.0,1.0,9,14,108.05402701350674,186.09304652326162,0.07662835249042145,0.4900924702774108,ok,0.9999999565064023,81.9773426183841
0.1,1000000.0,1.0,1.0,10,14,108.05402701350674,186.09304652326162,0.06975683890577508,0.48702037439238804,ok,0.08912731985714828,16741.87666431434
0.1,1000000.0,1.0,1.0,11,14,102.05102551275637,180.09004502251125,0.05035685963521015,0.5071167141114274,ok,0.08710028360447644,10340.19225583239
0.1,1000000.0,1.0,1.0,12,14,108.05402701350674,186.09304652326162,0.07058381828421251,0.4961262553802009,ok,0.09029436615409368,16802.216891539247
0.1,1000000.0,1.0,1.0,13,14,108.05402701350674,186.09304652326162,0.0748868778280543,0.4969121140142518,ok,0.08866063146836134,17345.759015638203
0.1,1000000.0,1.0,1.0,14,14,108.05402701350674,186.09304652326162,0.07638229146874406,0.5014229570402493,ok,0.9999999999999998,154.1795470581924
0.1,1000000.0,1.0,1.0,15,14,108.05402701350674,186.09304652326162,0.073689109525287,0.4973054537615865,ok,0.09011513915705802,17346.856791825423
0.1,1000000.0,1.0,1.0,16,14,108.05402701350674,186.09304652326162,0.0661978290781226,0.4866481832773968,ok,1.0,13832.097648679728
0.1,1000000.0,1.0,1.0,17,14,108.05402701350674,186.09304652326162,0.0670908039329092,0.4992248062015504,ok,0.09108227123932115,16182.111788033739
0.1,1000000.0,1.0,1.0,18,14,108.05402701350674,186.09304652326162,0.07110021452650934,0.4999333954975356,ok,0.087131898802843,17265.5259519065
0.1,1000000.0,1.0,1.0,19,14,102.05102551275637,180.09004502251125,0.050030693677102514,0.5081481481481481,ok,0.0894650410589447,9883.425248650292
0.2,200000.0,1.0,1.0,0,14,96.048024012006,174.08704352176088,0.06467417932386085,0.5190745754368693,ok,0.09579079352235045,16273.034052774472
0.2,200000.0,1.0,1.0,1,14,96.048024012006,174.08704352176088,0.06556503198294243,0.5021507387319992,ok,0.9999999999999789,144.4451691987344
0.2,200000.0,1.0,1.0,2,14,96.048024012006,174.08704352176088,0.07901037509976057,0.5041676589664206,ok,0.09814866941599572,15658.351861866917
0.2,200000.0,1.0,1.0,3,14,96.048024012006,174.08704352176088,0.06970333420845366,0.5168228279386712,ok,0.09584854708738519,16278.809086117719
0.2,200000.0,1.0,1.0,4,14,96.048024012006,174.08704352176088,0.06354110693175712,0.5008675534991325,ok,1.0,196.0111465666289
0.2,200000.0,1.0,1.0,5,14,96.048024012006,174.08704352176088,0.061411315956770504,0.49878934624697335,ok,0.10425288458957162,14463.897178768377
0.2,200000.0,1.0,1.0,6,14,96.048024012006,174.08704352176088,0.06824408468244085,0.5004967709885743,ok,0.0990100698637005,15107.945619032065
0.2,200000.0,1.0,1.0,7,14,96.048024012006,174.08704352176088,0.061769375090200605,0.5077173030056864,ok,0.10306246350435791,14089.30832826367
0.2,200000.0,1.0,1.0,8,14,96.048024012006,174.08704352176088,0.06507449605609114,0.49551125102017024,ok,0.09947440913385014,15284.375609799878
0.2,200000.0,1.0,1.0,9,14,96.048024012006,174.08704352176088,0.06607105755246208,0.49236829148202854,ok,1.0,119.50558713816525
0.2,200000.0,1.0,1.0,10,14,96.048024012006,174.08704352176088,0.06493506493506493,0.5045135406218656,ok,0.09858129003674704,15088.147819274414
0.2,200000.0,1.0,1.0,11,14,96.048024012006,174.08704352176088,0.061577934573444515,0.5027334119412584,ok,0.10283740375976007,13981.876100298463
0.2,200000.0,1.0,1.0,12,14,96.048024012006,174.08704352176088,0.06780850765127053,0.49435665914221216,ok,0.09895631265906372,15019.043833443751
0.2,200000.0,1.0,1.0,13,14,96.048024012006,174.08704352176088,0.061986301369863016,0.5002438429651305,ok,0.09752165685597793,14648.307101433264
